actual,predicted,residuals,abs_error,percentage_error
0.49293154,0.4329983,0.059933245,0.059933245,12.158533
0.03508872,0.106080085,-0.07099137,0.07099137,202.31955
0.26962695,0.25664523,0.012981713,0.012981713,4.814694
0.50058043,0.43976602,0.06081441,0.06081441,12.148779
0.21560526,0.21350782,0.0020974427,0.0020974427,0.97281605
0.59074664,0.52011174,0.0706349,0.0706349,11.956886
0.074748755,0.12353583,-0.048787072,0.048787072,65.26807
0.46947047,0.41268405,0.056786418,0.056786418,12.095844
0.08471776,0.12883887,-0.04412111,0.04412111,52.080112
0.17575042,0.18822184,-0.012471423,0.012471423,7.0960975
0.15120235,0.17143251,-0.02023016,0.02023016,13.379526
0.37170833,0.34341112,0.028297216,0.028297216,7.612747
0.21817063,0.21487163,0.0032989979,0.0032989979,1.5121181
0.26734307,0.2543865,0.01295656,0.01295656,4.846417
0.16074947,0.17812276,-0.017373294,0.017373294,10.807683
0.13211715,0.15805519,-0.025938034,0.025938034,19.632599
0.48911425,0.429628,0.05948624,0.05948624,12.162033
0.12709637,0.15479617,-0.027699798,0.027699798,21.794323
0.27827212,0.26744524,0.010826886,0.010826886,3.8907547
0.57006025,0.5003618,0.06969845,0.06969845,12.226506
0.3856354,0.35229924,0.033336163,0.033336163,8.644477
0.28576803,0.278484,0.007284045,0.007284045,2.5489364
0.17620222,0.18848175,-0.012279525,0.012279525,6.968995
0.48259187,0.4239893,0.05860257,0.05860257,12.143298
0.23243715,0.22194439,0.010492757,0.010492757,4.5142336
0.3826693,0.3503854,0.032283902,0.032283902,8.4365015
0.5340088,0.4687388,0.06527001,0.06527001,12.222646
0.4718689,0.41474372,0.05712518,0.05712518,12.106154
0.34193468,0.32245654,0.019478142,0.019478142,5.696451
0.521781,0.4588072,0.06297383,0.06297383,12.069015
0.07722039,0.12481773,-0.04759734,0.04759734,61.6383
0.3979252,0.36043137,0.037493825,0.037493825,9.42233
0.5556261,0.48720255,0.06842354,0.06842354,12.314673
0.39351022,0.35751915,0.035991073,0.035991073,9.14616
0.22003949,0.21581024,0.0042292476,0.0042292476,1.9220401
0.35634986,0.33409965,0.022250205,0.022250205,6.2439213
0.3039109,0.29413104,0.0097798705,0.0097798705,3.2180057
0.516318,0.45399863,0.062319398,0.062319398,12.069963
0.30023354,0.29275873,0.00747481,0.00747481,2.489665
0.1704151,0.18471411,-0.014299005,0.014299005,8.390691
0.15421487,0.17365992,-0.019445047,0.019445047,12.609058
0.17991719,0.19096106,-0.011043876,0.011043876,6.1383104
0.046268288,0.11035952,-0.064091235,0.064091235,138.52084
0.41122556,0.36948884,0.041736722,0.041736722,10.14935
0.3616745,0.3373498,0.024324685,0.024324685,6.7255745
0.18831645,0.19652,-0.008203551,0.008203551,4.356258
0.08581599,0.12943837,-0.043622382,0.043622382,50.832462
0.13991189,0.16345073,-0.023538843,0.023538843,16.824045
0.41665146,0.37332273,0.043328732,0.043328732,10.399275
0.2338592,0.22262183,0.011237368,0.011237368,4.8051853
0.13812006,0.16216883,-0.024048775,0.024048775,17.4115
0.11414822,0.1463999,-0.03225168,0.03225168,28.254208
0.5080289,0.44639358,0.061635345,0.061635345,12.132252
0.11121353,0.14451529,-0.033301763,0.033301763,29.943985
0.04008333,0.107961506,-0.06787817,0.06787817,169.3426
0.055978335,0.114626154,-0.05864782,0.05864782,104.76875
0.08188859,0.12729865,-0.045410067,0.045410067,55.45347
0.26827705,0.25531146,0.01296559,0.01296559,4.8329105
0.5336419,0.468407,0.06523487,0.06523487,12.224466
0.11556555,0.1473406,-0.031775042,0.031775042,27.495253
0.33087498,0.3132235,0.017651469,0.017651469,5.334785
0.5129502,0.45092258,0.062027603,0.062027603,12.092325
0.5527084,0.48456007,0.068148315,0.068148315,12.329886
0.26655596,0.25360438,0.012951583,0.012951583,4.858861
0.16936003,0.18403012,-0.014670089,0.014670089,8.662072
0.2501496,0.23221138,0.017938226,0.017938226,7.170999
0.45223823,0.3993739,0.052864343,0.052864343,11.68949
0.3705713,0.3427257,0.027845591,0.027845591,7.514233
0.5536211,0.48541608,0.06820503,0.06820503,12.319802
0.43963194,0.38984877,0.04978317,0.04978317,11.323829
0.34994373,0.32946756,0.020476162,0.020476162,5.851273
0.49478042,0.43459195,0.060188472,0.060188472,12.164683
0.39927348,0.36136073,0.037912756,0.037912756,9.495436
0.5901675,0.5195131,0.07065445,0.07065445,11.971931
0.0016208192,0.095665425,-0.0940446,0.0940446,5802.2524
0.5864592,0.51587075,0.07058847,0.07058847,12.036382
0.25180128,0.23495132,0.016849965,0.016849965,6.691771
0.5525737,0.4844817,0.06809199,0.06809199,12.322699
0.20283084,0.20591345,-0.0030826181,0.0030826181,1.5197974
0.030684337,0.10453668,-0.073852345,0.073852345,240.6841
0.19871984,0.20326754,-0.0045477003,0.0045477003,2.2884982
0.47203422,0.4148874,0.057146817,0.057146817,12.106499
0.17158346,0.18548422,-0.013900757,0.013900757,8.101455
0.54126316,0.47475094,0.06651223,0.06651223,12.288334
0.47090992,0.41391277,0.05699715,0.05699715,12.103621
0.42607054,0.38003853,0.04603201,0.04603201,10.803847
0.44427282,0.39333206,0.050940752,0.050940752,11.466097
0.07903727,0.12575844,-0.046721168,0.046721168,59.112823
0.46433455,0.40870512,0.055629432,0.055629432,11.980464
0.42120656,0.37659806,0.044608504,0.044608504,10.590648
0.2796314,0.26942924,0.010202169,0.010202169,3.6484346
0.31077433,0.29819295,0.012581378,0.012581378,4.048397
0.42769697,0.38122776,0.04646921,0.04646921,10.8649845
0.50594765,0.4444841,0.061463535,0.061463535,12.148201
0.4827296,0.42407507,0.058654547,0.058654547,12.1506
0.40821606,0.36741668,0.04079938,0.04079938,9.994555
0.06997699,0.1211378,-0.051160805,0.051160805,73.110886
0.08867876,0.13098177,-0.04230301,0.04230301,47.70365
0.58664805,0.5161284,0.070519626,0.070519626,12.020773
0.08475765,0.12884206,-0.044084407,0.044084407,52.0123
0.020427028,0.101124644,-0.08069762,0.08069762,395.05298
0.47349912,0.41614747,0.05735165,0.05735165,12.112303
0.46197328,0.40689886,0.055074424,0.055074424,11.92156
0.36261332,0.33789924,0.024714082,0.024714082,6.8155475
0.5002736,0.43946856,0.060805023,0.060805023,12.154354
0.54162765,0.47508276,0.06654489,0.06654489,12.286096
0.5263947,0.462572,0.06382272,0.06382272,12.124497
0.06412348,0.1183157,-0.054192215,0.054192215,84.51227
0.1895318,0.1972917,-0.007759899,0.007759899,4.094246
0.31410018,0.30080268,0.013297498,0.013297498,4.2335215
0.11224955,0.14519769,-0.032948136,0.032948136,29.352575
0.41849867,0.37464827,0.043850392,0.043850392,10.4780245
0.39207217,0.3565569,0.03551528,0.03551528,9.058352
0.48586553,0.4268248,0.059040725,0.059040725,12.151659
0.26104563,0.24808422,0.012961417,0.012961417,4.965192
0.48137498,0.4229691,0.058405876,0.058405876,12.133135
0.59539163,0.52474546,0.07064617,0.07064617,11.865495
0.5982988,0.52766716,0.07063162,0.07063162,11.80541
0.5388056,0.47270685,0.06609875,0.06609875,12.267643
