EventNum,Polarization,Area,CalConst,Baseline,QMeterNum,QMeterName,MagCurrent,EIPFreq,HPFreq,uWaveFreq,uWavePower,FMAmplitude,FMOffset,ScanSweeps,ScanSteps,ScanFreq,RFFreq,RFMod,RFPower,YaleGain,DCLevel,He3Press,He3Temp,He4Temp,He4Press,SepFlow,MainFlow,MagLevel,RFVolts,LN2Level,VacPress,Comment,TopChip,BottomChip,CarbonGlass,Collector
1716578028,-1.268514E-2,4.637229E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578035,-1.468271E-2,5.367470E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578042,-1.827284E-2,6.679892E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578048,-2.009681E-2,7.346667E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578055,-1.811277E-2,6.621375E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578061,-1.842219E-2,6.734487E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578068,-7.966382E-3,2.912222E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578074,-1.568577E-2,5.734149E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578081,-1.012658E-2,3.701914E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578088,-3.717162E-3,1.358860E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
1716578094,3.578285E-3,-1.308092E-3,-2.735500E+0,1716570808,4,Top Proton,0.000000,,,,,,,100,500,15287,213.000,400,275,0,,,,NaN,,,,,,,,,,,,
